CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age-Cat,Tenure-Cat,Score-Cat
0,15634602,619.0,France,Female,42,2.0,0.0,1.0,1,1,101348.88,1,senior,mid,poor
1,15647311,608.0,Spain,Female,41,1.0,83807.86,1.0,0,1,112542.58,0,senior,short,poor
2,15619304,502.0,France,Female,42,8.0,159660.8,3.0,1,0,113931.57,1,senior,vip,very poor
3,15737888,850.0,Spain,Female,43,2.0,125510.82,1.0,1,1,79084.1,0,senior,mid,excellent
4,15574012,645.0,Spain,Male,44,8.0,113755.78,2.0,1,0,149756.71,1,senior,vip,poor
5,15592531,822.0,France,Male,50,7.0,0.0,2.0,1,1,10062.8,0,senior,vip,excellent
6,15656148,376.0,Germany,Female,29,4.0,115046.74,4.0,1,0,119346.88,1,regular,long,very poor
7,15792365,501.0,France,Male,44,4.0,142051.07,2.0,0,1,74940.5,0,senior,long,very poor
8,15592389,684.0,France,Male,27,2.0,134603.88,1.0,1,1,71725.73,0,regular,mid,good
9,15767821,528.0,France,Male,31,6.0,102016.72,2.0,0,0,80181.12,0,regular,long,very poor
10,15737173,497.0,Spain,Male,24,3.0,0.0,2.0,1,0,76390.01,0,graduade,mid,very poor
11,15632264,476.0,France,Female,34,10.0,0.0,2.0,1,0,26260.98,0,regular,vip,very poor
12,15691483,549.0,n/a,Female,25,5.0,0.0,2.0,0,0,190857.79,0,regular,long,very poor
13,15600882,635.0,Spain,Female,35,7.0,0.0,2.0,1,1,65951.65,0,senior,vip,poor
14,15643966,616.0,Germany,Male,45,3.0,143129.41,2.0,0,1,64327.26,0,senior,mid,poor
15,15737452,653.0,Germany,Male,58,1.0,132602.88,1.0,1,0,5097.67,1,senior,short,poor
16,15788218,549.0,Spain,Female,24,9.0,0.0,2.0,1,1,14406.41,0,graduade,vip,very poor
17,15661507,587.0,Spain,Male,45,6.0,65360.926875000005,1.0,0,0,158684.81,0,senior,long,poor
18,15568982,726.0,France,Female,24,6.0,0.0,2.0,1,1,54724.03,0,graduade,long,good
19,15577657,732.0,France,Male,41,8.0,0.0,2.0,1,1,170886.17,0,senior,vip,good
20,15597945,636.0,Spain,Female,32,8.0,0.0,2.0,1,0,138555.46,0,regular,vip,poor
21,15699309,510.0,Spain,Female,38,4.0,0.0,1.0,1,0,118913.53,1,senior,long,very poor
22,15725737,669.0,France,Male,46,3.0,0.0,2.0,0,1,8487.75,0,senior,mid,good
23,15625047,846.0,France,Female,38,5.0,0.0,1.0,1,1,187616.16,0,senior,long,excellent
24,15738191,577.0,France,Male,25,3.0,0.0,1.435897435897436,0,1,124508.29,0,regular,mid,very poor
25,15736816,756.0,n/a,Male,36,2.0,136815.64,1.0,1,1,170041.95,0,senior,mid,very good
26,15700772,571.0,France,Male,44,9.0,0.0,2.0,0,0,38433.35,0,senior,vip,very poor
27,15728693,574.0,Germany,Female,43,3.0,141349.43,1.0,1,1,100187.43,0,senior,mid,very poor
28,15656300,411.0,France,Male,29,0.0,59697.17,2.0,1,1,53483.21,0,regular,short,very poor
29,15589475,591.0,Spain,Female,39,3.0,0.0,3.0,1,0,140469.38,1,senior,mid,poor
30,15706552,533.0,France,Male,36,7.0,85311.7,1.0,0,1,156731.91,0,senior,vip,very poor
31,15750181,553.0,Germany,Male,41,9.0,110112.54,2.0,0,0,81898.81,0,senior,vip,very poor
32,15659428,520.0,Spain,Female,42,6.0,0.0,2.0,1,1,34410.55,0,senior,long,very poor
33,15732963,722.0,Spain,Female,29,9.0,0.0,2.0,1,1,142033.07,0,regular,vip,good
34,15794171,475.0,France,Female,45,0.0,134264.04,1.0,1,0,27822.99,1,senior,short,very poor
35,15788448,490.0,Spain,Male,31,3.0,46352.64897435898,1.0,0,1,114066.77,0,regular,mid,very poor
36,15729599,804.0,Spain,Male,33,7.0,76548.6,1.0,0,1,98453.45,0,regular,vip,excellent
37,15717426,850.0,France,Male,36,7.0,0.0,1.0,1,1,40812.9,0,senior,vip,excellent
38,15585768,582.0,Germany,Male,41,6.0,70349.48,2.0,0,1,178074.04,0,senior,long,poor
39,15619360,472.0,Spain,Male,40,4.0,0.0,1.0,1,0,70154.22,0,senior,long,very poor
40,15738148,465.0,France,Female,51,8.0,122522.32,1.0,0,0,181297.65,1,senior,vip,very poor
41,15687946,556.0,France,Female,61,2.0,117419.35,1.0,1,1,94153.83,0,senior,mid,very poor
42,15755196,834.0,France,Female,49,2.0,131394.56,1.0,0,0,194365.76,1,senior,mid,excellent
43,15684171,660.0,Spain,Female,61,5.0,155931.11,1.0,1,1,158338.39,0,senior,long,poor
44,15754849,776.0,Germany,Female,32,4.0,109421.13,2.0,1,1,126517.46,0,regular,long,very good
45,15602280,829.0,Germany,Female,27,9.0,112045.67,1.0,1,1,119708.21,1,regular,vip,excellent
46,15771573,637.0,Germany,Female,39,4.918533604887983,137843.8,1.0,1,1,117622.8,1,senior,long,poor
47,15766205,550.0,Germany,Male,38,2.0,103391.38,1.0,0,1,90878.13,0,senior,mid,very poor
48,15771873,776.0,Germany,Female,37,2.0,103769.22,2.0,1,0,194099.12,0,senior,mid,very good
49,15616550,698.0,Germany,Male,44,10.0,116363.37,2.0,1,0,198059.16,0,senior,vip,good
50,15768193,585.0,Germany,Male,36,5.0,146050.97,2.0,0,0,86424.57,0,senior,long,poor
51,15683553,788.0,France,Female,33,5.0,0.0,2.0,0,0,116978.19,0,regular,long,very good
52,15702298,655.0,Germany,Male,41,8.0,125561.97,1.0,0,0,164040.94,1,senior,vip,poor
53,15569590,601.0,Germany,Male,42,1.0,98495.72,1.0,1,0,40014.76,1,senior,short,poor
54,15760861,619.0,France,Male,43,1.0,125211.92,1.0,1,1,113410.49,0,senior,short,poor
55,15630053,656.0,France,Male,45,5.0,127864.4,1.0,1,0,87107.57,0,senior,long,poor
56,15647091,725.0,Germany,Male,19,0.0,75888.2,1.0,0,0,45613.75,0,graduade,short,good
57,15623944,511.0,Spain,Female,66,4.0,0.0,1.0,1,0,1643.11,1,retired,long,very poor
58,15804771,614.0,France,Male,51,4.0,40685.92,1.0,1,1,46775.28,0,senior,long,poor
59,15651280,742.0,Germany,Male,35,5.0,136857.0,1.875,0,0,84509.57,0,senior,long,very good
60,15773469,687.0,Germany,Female,27,9.0,152328.88,2.0,0,0,126494.82,0,regular,vip,good
61,15702014,555.0,Spain,Male,33,1.0,56084.69,2.0,0,0,178798.13,0,regular,short,very poor
62,15751208,684.0,Spain,Male,56,8.0,78707.16,1.0,1,1,99398.36,0,senior,vip,good
